Ord,Date,Time,Flow,Hydro
244,12/17/1964,12:45,26276,Dec-1964
245,12/17/1964,13:00,26468,Dec-1964
246,12/17/1964,13:15,26661,Dec-1964
247,12/17/1964,13:30,26856,Dec-1964
248,12/17/1964,13:45,27051,Dec-1964
249,12/17/1964,14:00,27247,Dec-1964
250,12/17/1964,14:15,27440,Dec-1964
251,12/17/1964,14:30,27630,Dec-1964
252,12/17/1964,14:45,27817,Dec-1964
253,12/17/1964,15:00,28001,Dec-1964
254,12/17/1964,15:15,28182,Dec-1964
255,12/17/1964,15:30,28357,Dec-1964
256,12/17/1964,15:45,28526,Dec-1964
257,12/17/1964,16:00,28686,Dec-1964
258,12/17/1964,16:15,28836,Dec-1964
259,12/17/1964,16:30,28975,Dec-1964
260,12/17/1964,16:45,29102,Dec-1964
261,12/17/1964,17:00,29218,Dec-1964
262,12/17/1964,17:15,29323,Dec-1964
263,12/17/1964,17:30,29418,Dec-1964
264,12/17/1964,17:45,29506,Dec-1964
265,12/17/1964,18:00,29587,Dec-1964
266,12/17/1964,18:15,29663,Dec-1964
267,12/17/1964,18:30,29736,Dec-1964
268,12/17/1964,18:45,29809,Dec-1964
269,12/17/1964,19:00,29881,Dec-1964
270,12/17/1964,19:15,29967,Dec-1964
271,12/17/1964,19:30,30090,Dec-1964
272,12/17/1964,19:45,30267,Dec-1964
273,12/17/1964,20:00,30512,Dec-1964
274,12/17/1964,20:15,30823,Dec-1964
275,12/17/1964,20:30,31193,Dec-1964
276,12/17/1964,20:45,31616,Dec-1964
277,12/17/1964,21:00,32083,Dec-1964
278,12/17/1964,21:15,32581,Dec-1964
279,12/17/1964,21:30,33092,Dec-1964
280,12/17/1964,21:45,33600,Dec-1964
281,12/17/1964,22:00,34095,Dec-1964
282,12/17/1964,22:15,34562,Dec-1964
283,12/17/1964,22:30,34988,Dec-1964
284,12/17/1964,22:45,35367,Dec-1964
285,12/17/1964,23:00,35703,Dec-1964
286,12/17/1964,23:15,36001,Dec-1964
287,12/17/1964,23:30,36262,Dec-1964
288,12/17/1964,23:45,36488,Dec-1964
289,12/18/1964,0:00,36674,Dec-1964
290,12/18/1964,0:15,36823,Dec-1964
291,12/18/1964,0:30,36934,Dec-1964
292,12/18/1964,0:45,37008,Dec-1964
293,12/18/1964,1:00,37044,Dec-1964
294,12/18/1964,1:15,37043,Dec-1964
295,12/18/1964,1:30,37006,Dec-1964
296,12/18/1964,1:45,36933,Dec-1964
297,12/18/1964,2:00,36824,Dec-1964
298,12/18/1964,2:15,36677,Dec-1964
299,12/18/1964,2:30,36494,Dec-1964
300,12/18/1964,2:45,36281,Dec-1964
301,12/18/1964,3:00,36041,Dec-1964
302,12/18/1964,3:15,35783,Dec-1964
303,12/18/1964,3:30,35509,Dec-1964
304,12/18/1964,3:45,35223,Dec-1964
305,12/18/1964,4:00,34925,Dec-1964
306,12/18/1964,4:15,34620,Dec-1964
307,12/18/1964,4:30,34308,Dec-1964
308,12/18/1964,4:45,33992,Dec-1964
309,12/18/1964,5:00,33672,Dec-1964
310,12/18/1964,5:15,33349,Dec-1964
311,12/18/1964,5:30,33026,Dec-1964
312,12/18/1964,5:45,32704,Dec-1964
313,12/18/1964,6:00,32382,Dec-1964
314,12/18/1964,6:15,32064,Dec-1964
315,12/18/1964,6:30,31750,Dec-1964
316,12/18/1964,6:45,31439,Dec-1964
317,12/18/1964,7:00,31132,Dec-1964
318,12/18/1964,7:15,30829,Dec-1964
319,12/18/1964,7:30,30529,Dec-1964
320,12/18/1964,7:45,30232,Dec-1964
321,12/18/1964,8:00,29940,Dec-1964
322,12/18/1964,8:15,29650,Dec-1964
323,12/18/1964,8:30,29364,Dec-1964
324,12/18/1964,8:45,29082,Dec-1964
325,12/18/1964,9:00,28803,Dec-1964
326,12/18/1964,9:15,28527,Dec-1964
327,12/18/1964,9:30,28254,Dec-1964
328,12/18/1964,9:45,27984,Dec-1964
329,12/18/1964,10:00,27718,Dec-1964
330,12/18/1964,10:15,27454,Dec-1964
331,12/18/1964,10:30,27194,Dec-1964
332,12/18/1964,10:45,26937,Dec-1964
333,12/18/1964,11:00,26683,Dec-1964
334,12/18/1964,11:15,26432,Dec-1964
335,12/18/1964,11:30,26183,Dec-1964
336,12/18/1964,11:45,25938,Dec-1964
337,12/18/1964,12:00,25695,Dec-1964
338,12/18/1964,12:15,25455,Dec-1964
339,12/18/1964,12:30,25218,Dec-1964
340,12/18/1964,12:45,24983,Dec-1964
341,12/18/1964,13:00,24752,Dec-1964
342,12/18/1964,13:15,24522,Dec-1964
343,12/18/1964,13:30,24296,Dec-1964
344,12/18/1964,13:45,24072,Dec-1964
345,12/18/1964,14:00,23850,Dec-1964
346,12/18/1964,14:15,23631,Dec-1964
347,12/18/1964,14:30,23415,Dec-1964
348,12/18/1964,14:45,23200,Dec-1964
349,12/18/1964,15:00,22987,Dec-1964
350,12/18/1964,15:15,22777,Dec-1964
351,12/18/1964,15:30,22569,Dec-1964
352,12/18/1964,15:45,22363,Dec-1964
353,12/18/1964,16:00,22159,Dec-1964
354,12/18/1964,16:15,21957,Dec-1964
355,12/18/1964,16:30,21758,Dec-1964
356,12/18/1964,16:45,21562,Dec-1964
357,12/18/1964,17:00,21369,Dec-1964
358,12/18/1964,17:15,21177,Dec-1964
359,12/18/1964,17:30,20988,Dec-1964
360,12/18/1964,17:45,20801,Dec-1964
361,12/18/1964,18:00,20616,Dec-1964
362,12/18/1964,18:15,20432,Dec-1964
363,12/18/1964,18:30,20251,Dec-1964
364,12/18/1964,18:45,20072,Dec-1964
365,12/18/1964,19:00,19895,Dec-1964
366,12/18/1964,19:15,19720,Dec-1964
367,12/18/1964,19:30,19546,Dec-1964
368,12/18/1964,19:45,19375,Dec-1964
369,12/18/1964,20:00,19205,Dec-1964
370,12/18/1964,20:15,19037,Dec-1964
371,12/18/1964,20:30,18871,Dec-1964
372,12/18/1964,20:45,18707,Dec-1964
373,12/18/1964,21:00,18545,Dec-1964
374,12/18/1964,21:15,18384,Dec-1964
375,12/18/1964,21:30,18225,Dec-1964
376,12/18/1964,21:45,18068,Dec-1964
377,12/18/1964,22:00,17912,Dec-1964
378,12/18/1964,22:15,17758,Dec-1964
379,12/18/1964,22:30,17606,Dec-1964
380,12/18/1964,22:45,17455,Dec-1964
381,12/18/1964,23:00,17306,Dec-1964
382,12/18/1964,23:15,17158,Dec-1964
383,12/18/1964,23:30,17012,Dec-1964
384,12/18/1964,23:45,16868,Dec-1964
385,12/19/1964,0:00,16747,Dec-1964
386,12/19/1964,0:15,16636,Dec-1964
387,12/19/1964,0:30,16526,Dec-1964
388,12/19/1964,0:45,16417,Dec-1964
389,12/19/1964,1:00,16309,Dec-1964
390,12/19/1964,1:15,16201,Dec-1964
391,12/19/1964,1:30,16095,Dec-1964
392,12/19/1964,1:45,15989,Dec-1964
393,12/19/1964,2:00,15884,Dec-1964
394,12/19/1964,2:15,15780,Dec-1964
395,12/19/1964,2:30,15677,Dec-1964
396,12/19/1964,2:45,15574,Dec-1964
397,12/19/1964,3:00,15473,Dec-1964
398,12/19/1964,3:15,15372,Dec-1964
399,12/19/1964,3:30,15272,Dec-1964
400,12/19/1964,3:45,15173,Dec-1964
401,12/19/1964,4:00,15075,Dec-1964
402,12/19/1964,4:15,14977,Dec-1964
403,12/19/1964,4:30,14880,Dec-1964
404,12/19/1964,4:45,14784,Dec-1964
405,12/19/1964,5:00,14689,Dec-1964
406,12/19/1964,5:15,14595,Dec-1964
407,12/19/1964,5:30,14501,Dec-1964
408,12/19/1964,5:45,14408,Dec-1964
409,12/19/1964,6:00,14316,Dec-1964
410,12/19/1964,6:15,14224,Dec-1964
411,12/19/1964,6:30,14134,Dec-1964
412,12/19/1964,6:45,14044,Dec-1964
413,12/19/1964,7:00,13954,Dec-1964
414,12/19/1964,7:15,13866,Dec-1964
415,12/19/1964,7:30,13778,Dec-1964
416,12/19/1964,7:45,13690,Dec-1964
417,12/19/1964,8:00,13604,Dec-1964
418,12/19/1964,8:15,13518,Dec-1964
419,12/19/1964,8:30,13433,Dec-1964
420,12/19/1964,8:45,13348,Dec-1964
421,12/19/1964,9:00,13265,Dec-1964
422,12/19/1964,9:15,13182,Dec-1964
423,12/19/1964,9:30,13099,Dec-1964
424,12/19/1964,9:45,13017,Dec-1964
425,12/19/1964,10:00,12936,Dec-1964
426,12/19/1964,10:15,12856,Dec-1964
427,12/19/1964,10:30,12776,Dec-1964
428,12/19/1964,10:45,12696,Dec-1964
429,12/19/1964,11:00,12618,Dec-1964
430,12/19/1964,11:15,12540,Dec-1964
431,12/19/1964,11:30,12462,Dec-1964
432,12/19/1964,11:45,12386,Dec-1964
433,12/19/1964,12:00,12310,Dec-1964
434,12/19/1964,12:15,12234,Dec-1964
435,12/19/1964,12:30,12159,Dec-1964
436,12/19/1964,12:45,12085,Dec-1964
437,12/19/1964,13:00,12011,Dec-1964
438,12/19/1964,13:15,11938,Dec-1964
439,12/19/1964,13:30,11865,Dec-1964
440,12/19/1964,13:45,11793,Dec-1964
441,12/19/1964,14:00,11722,Dec-1964
442,12/19/1964,14:15,11651,Dec-1964
443,12/19/1964,14:30,11580,Dec-1964
444,12/19/1964,14:45,11510,Dec-1964
445,12/19/1964,15:00,11441,Dec-1964
446,12/19/1964,15:15,11373,Dec-1964
447,12/19/1964,15:30,11304,Dec-1964
448,12/19/1964,15:45,11237,Dec-1964
449,12/19/1964,16:00,11170,Dec-1964
450,12/19/1964,16:15,11103,Dec-1964
451,12/19/1964,16:30,11037,Dec-1964
452,12/19/1964,16:45,10972,Dec-1964
453,12/19/1964,17:00,10907,Dec-1964
454,12/19/1964,17:15,10842,Dec-1964
455,12/19/1964,17:30,10778,Dec-1964
456,12/19/1964,17:45,10715,Dec-1964
457,12/19/1964,18:00,10652,Dec-1964
458,12/19/1964,18:15,10589,Dec-1964
459,12/19/1964,18:30,10527,Dec-1964
460,12/19/1964,18:45,10466,Dec-1964
461,12/19/1964,19:00,10405,Dec-1964
462,12/19/1964,19:15,10344,Dec-1964
463,12/19/1964,19:30,10284,Dec-1964
464,12/19/1964,19:45,10224,Dec-1964
465,12/19/1964,20:00,10165,Dec-1964
466,12/19/1964,20:15,10106,Dec-1964
467,12/19/1964,20:30,10048,Dec-1964
468,12/19/1964,20:45,9991,Dec-1964
469,12/19/1964,21:00,9933,Dec-1964
470,12/19/1964,21:15,9876,Dec-1964
471,12/19/1964,21:30,9820,Dec-1964
472,12/19/1964,21:45,9764,Dec-1964
473,12/19/1964,22:00,9708,Dec-1964
474,12/19/1964,22:15,9653,Dec-1964
475,12/19/1964,22:30,9599,Dec-1964
476,12/19/1964,22:45,9544,Dec-1964
477,12/19/1964,23:00,9490,Dec-1964
478,12/19/1964,23:15,9437,Dec-1964
479,12/19/1964,23:30,9384,Dec-1964
480,12/19/1964,23:45,9331,Dec-1964
481,12/20/1964,0:00,9279,Dec-1964
482,12/20/1964,0:15,9227,Dec-1964
483,12/20/1964,0:30,9176,Dec-1964
484,12/20/1964,0:45,9125,Dec-1964
485,12/20/1964,1:00,9075,Dec-1964
486,12/20/1964,1:15,9024,Dec-1964
487,12/20/1964,1:30,8975,Dec-1964
488,12/20/1964,1:45,8925,Dec-1964
489,12/20/1964,2:00,8876,Dec-1964
490,12/20/1964,2:15,8827,Dec-1964
491,12/20/1964,2:30,8779,Dec-1964
492,12/20/1964,2:45,8731,Dec-1964
493,12/20/1964,3:00,8684,Dec-1964
494,12/20/1964,3:15,8637,Dec-1964
495,12/20/1964,3:30,8590,Dec-1964
496,12/20/1964,3:45,8543,Dec-1964
497,12/20/1964,4:00,8497,Dec-1964
498,12/20/1964,4:15,8452,Dec-1964
499,12/20/1964,4:30,8406,Dec-1964
500,12/20/1964,4:45,8361,Dec-1964
501,12/20/1964,5:00,8316,Dec-1964
502,12/20/1964,5:15,8272,Dec-1964
503,12/20/1964,5:30,8228,Dec-1964
504,12/20/1964,5:45,8184,Dec-1964
505,12/20/1964,6:00,8141,Dec-1964
506,12/20/1964,6:15,8098,Dec-1964
507,12/20/1964,6:30,8056,Dec-1964
