Date,Elev_NGVD29,Project,
12/30/1970,1530.7,Cougar,1535.08
12/31/1970,1532,Cougar,1536.38
1/1/1971,1532,Cougar,1536.38
1/2/1971,1532,Cougar,1536.38
1/3/1971,1532,Cougar,1536.38
1/4/1971,1532,Cougar,1536.38
1/5/1971,1532,Cougar,1536.38
1/6/1971,1532,Cougar,1536.38
1/7/1971,1532,Cougar,1536.38
1/8/1971,1532,Cougar,1536.38
1/9/1971,1535.6,Cougar,1539.98
1/10/1971,1540.6,Cougar,1544.98
1/11/1971,1542.4,Cougar,1546.78
1/12/1971,1542,Cougar,1546.38
1/13/1971,1540.8,Cougar,1545.18
1/14/1971,1539.6,Cougar,1543.98
1/15/1971,1540.3,Cougar,1544.68
1/16/1971,1552.4,Cougar,1556.78
1/17/1971,1585.9,Cougar,1590.28
1/18/1971,1615.6,Cougar,1619.98
1/19/1971,1635.4,Cougar,1639.78
1/20/1971,1646.5,Cougar,1650.88
1/21/1971,1645.8,Cougar,1650.18
1/22/1971,1640.8,Cougar,1645.18
1/23/1971,1633.3,Cougar,1637.68
1/24/1971,1624.9,Cougar,1629.28
1/25/1971,1616.4,Cougar,1620.78
1/26/1971,1606.7,Cougar,1611.08
1/27/1971,1596.8,Cougar,1601.18
1/28/1971,1586.4,Cougar,1590.78
1/29/1971,1576.5,Cougar,1580.88
1/30/1971,1568.2,Cougar,1572.58
1/31/1971,1562.1,Cougar,1566.48
2/1/1971,1557.4,Cougar,1561.78
2/2/1971,1553.3,Cougar,1557.68
2/3/1971,1549.7,Cougar,1554.08
2/4/1971,1546.7,Cougar,1551.08
2/5/1971,1542.8,Cougar,1547.18
2/6/1971,1538.6,Cougar,1542.98
2/7/1971,1533.9,Cougar,1538.28
2/8/1971,1529.4,Cougar,1533.78
2/9/1971,1525,Cougar,1529.38
2/10/1971,1525.4,Cougar,1529.78
2/11/1971,1525.6,Cougar,1529.98
2/12/1971,1525.4,Cougar,1529.78
2/13/1971,1525.1,Cougar,1529.48
2/14/1971,1524.5,Cougar,1528.88
2/15/1971,1525.3,Cougar,1529.68
2/16/1971,1524.4,Cougar,1528.78
2/17/1971,1522.5,Cougar,1526.88
2/18/1971,1520.1,Cougar,1524.48
2/19/1971,1520,Cougar,1524.38
2/20/1971,1520.4,Cougar,1524.78
2/21/1971,1520,Cougar,1524.38
2/22/1971,1520,Cougar,1524.38
2/23/1971,1520,Cougar,1524.38
2/24/1971,1521.3,Cougar,1525.68
2/25/1971,1520,Cougar,1524.38
2/26/1971,1520.6,Cougar,1524.98
2/27/1971,1520,Cougar,1524.38
2/28/1971,1520,Cougar,1524.38
3/1/1971,1520,Cougar,1524.38
3/2/1971,1520,Cougar,1524.38
3/3/1971,1520,Cougar,1524.38
3/4/1971,1520,Cougar,1524.38
3/5/1971,1520,Cougar,1524.38
3/6/1971,1520,Cougar,1524.38
3/7/1971,1520,Cougar,1524.38
3/8/1971,1520,Cougar,1524.38
3/9/1971,1520,Cougar,1524.38
3/10/1971,1520.5,Cougar,1524.88
3/11/1971,1520,Cougar,1524.38
3/12/1971,1522.9,Cougar,1527.28
3/13/1971,1520.3,Cougar,1524.68
3/14/1971,1520,Cougar,1524.38
3/15/1971,1520.4,Cougar,1524.78
3/16/1971,1520,Cougar,1524.38
3/17/1971,1520,Cougar,1524.38
3/18/1971,1520,Cougar,1524.38
3/19/1971,1520,Cougar,1524.38
3/20/1971,1520,Cougar,1524.38
3/21/1971,1520,Cougar,1524.38
3/22/1971,1522.4,Cougar,1526.78
3/23/1971,1525.7,Cougar,1530.08
3/24/1971,1528.2,Cougar,1532.58
3/25/1971,1529.3,Cougar,1533.68
3/26/1971,1530.6,Cougar,1534.98
3/27/1971,1530.5,Cougar,1534.88
3/28/1971,1529.5,Cougar,1533.88
3/29/1971,1528,Cougar,1532.38
3/30/1971,1527.2,Cougar,1531.58
3/31/1971,1525.5,Cougar,1529.88
4/1/1971,1523.1,Cougar,1527.48
4/2/1971,1520.1,Cougar,1524.48
4/3/1971,1520,Cougar,1524.38
4/4/1971,1520.9,Cougar,1525.28
4/5/1971,1520,Cougar,1524.38
4/6/1971,1523,Cougar,1527.38
4/7/1971,1521.3,Cougar,1525.68
4/8/1971,1520,Cougar,1524.38
4/9/1971,1522.6,Cougar,1526.98
4/10/1971,1520.6,Cougar,1524.98
4/11/1971,1520,Cougar,1524.38
4/12/1971,1520.8,Cougar,1525.18
4/13/1971,1520,Cougar,1524.38
4/14/1971,1521,Cougar,1525.38
4/15/1971,1520,Cougar,1524.38
4/16/1971,1521.3,Cougar,1525.68
4/17/1971,1520,Cougar,1524.38
4/18/1971,1520.9,Cougar,1525.28
4/19/1971,1520,Cougar,1524.38
4/20/1971,1520.4,Cougar,1524.78
4/21/1971,1520,Cougar,1524.38
4/22/1971,1520,Cougar,1524.38
4/23/1971,1520.1,Cougar,1524.48
4/24/1971,1520,Cougar,1524.38
4/25/1971,1520,Cougar,1524.38
4/26/1971,1520.1,Cougar,1524.48
4/27/1971,1520,Cougar,1524.38
4/28/1971,1520.4,Cougar,1524.78
4/29/1971,1520,Cougar,1524.38
4/30/1971,1520.7,Cougar,1525.08
5/1/1971,1520,Cougar,1524.38
5/2/1971,1522.5,Cougar,1526.88
5/3/1971,1522.8,Cougar,1527.18
5/4/1971,1523,Cougar,1527.38
5/5/1971,1522.1,Cougar,1526.48
5/6/1971,1520.5,Cougar,1524.88
5/7/1971,1520,Cougar,1524.38
5/8/1971,1524.2,Cougar,1528.58
5/9/1971,1523.9,Cougar,1528.28
5/10/1971,1523.2,Cougar,1527.58
5/11/1971,1523.1,Cougar,1527.48
5/12/1971,1524.3,Cougar,1528.68
5/13/1971,1526.7,Cougar,1531.08
5/14/1971,1526.7,Cougar,1531.08
5/15/1971,1529.9,Cougar,1534.28
5/16/1971,1534.2,Cougar,1538.58
5/17/1971,1538.5,Cougar,1542.88
5/18/1971,1541.7,Cougar,1546.08
5/19/1971,1545,Cougar,1549.38
5/20/1971,1547.9,Cougar,1552.28
5/21/1971,1550.4,Cougar,1554.78
5/22/1971,1553.1,Cougar,1557.48
5/23/1971,1556.1,Cougar,1560.48
5/24/1971,1559.7,Cougar,1564.08
5/25/1971,1563.7,Cougar,1568.08
5/26/1971,1568.7,Cougar,1573.08
5/27/1971,1573.1,Cougar,1577.48
5/28/1971,1577.2,Cougar,1581.58
5/29/1971,1581,Cougar,1585.38
5/30/1971,1584.3,Cougar,1588.68
5/31/1971,1586.9,Cougar,1591.28
6/1/1971,1589.1,Cougar,1593.48
6/2/1971,1591,Cougar,1595.38
6/3/1971,1592.6,Cougar,1596.98
6/4/1971,1594.2,Cougar,1598.58
6/5/1971,1595.8,Cougar,1600.18
6/6/1971,1597.7,Cougar,1602.08
6/7/1971,1599.7,Cougar,1604.08
6/8/1971,1601.6,Cougar,1605.98
6/9/1971,1603.5,Cougar,1607.88
6/10/1971,1605.4,Cougar,1609.78
6/11/1971,1607,Cougar,1611.38
6/12/1971,1608.9,Cougar,1613.28
6/13/1971,1610.8,Cougar,1615.18
6/14/1971,1612.8,Cougar,1617.18
6/15/1971,1614.5,Cougar,1618.88
6/16/1971,1616.1,Cougar,1620.48
6/17/1971,1617.5,Cougar,1621.88
6/18/1971,1619.2,Cougar,1623.58
6/19/1971,1620.9,Cougar,1625.28
6/20/1971,1622.7,Cougar,1627.08
6/21/1971,1624.4,Cougar,1628.78
6/22/1971,1626,Cougar,1630.38
6/23/1971,1627.8,Cougar,1632.18
6/24/1971,1629.1,Cougar,1633.48
6/25/1971,1632.1,Cougar,1636.48
6/26/1971,1634,Cougar,1638.38
6/27/1971,1635.4,Cougar,1639.78
6/28/1971,1636.6,Cougar,1640.98
6/29/1971,1637.5,Cougar,1641.88
6/30/1971,1638.4,Cougar,1642.78
7/1/1971,1639.2,Cougar,1643.58
7/2/1971,1640.1,Cougar,1644.48
7/3/1971,1640.7,Cougar,1645.08
7/4/1971,1641.4,Cougar,1645.78
7/5/1971,1641.9,Cougar,1646.28
