AEP,0b ,1a ,1b ,1c ,1d ,2a ,2b ,2c ,2d ,3a ,3b,3c ,3d,3e,3f,3g,3h,3i,3j,4a ,4b ,4c ,4d ,5a ,5b ,5c ,6a ,6b 
8.01E-06,1704.14,1715.58,1713.38,1716.46,1704.19,1715.34,1713.02,1716.39,1704.24,1705.65,1710.99,1715.40,1717.08,1718.36,1718.36,1710.42,1710.47,1712.93,1715.52,1704.05,1704.13,1704.14,1709.48,1704.31,1703.60,1704.12,1714.91,1699.84
7.01E-06,1704.14,1715.92,1713.81,1716.66,1704.47,1715.73,1713.74,1716.65,1704.49,1706.34,1711.81,1715.65,1717.29,1718.39,1718.38,1710.44,1710.61,1713.24,1715.75,1704.05,1704.13,1704.14,1710.56,1704.31,1703.61,1704.12,1715.37,1700.48
6.01E-06,1704.41,1716.27,1714.23,1716.92,1705.43,1716.13,1714.47,1717.06,1704.74,1707.07,1712.50,1715.90,1717.50,1718.40,1718.40,1710.45,1711.12,1713.56,1715.98,1704.05,1704.13,1704.41,1712.05,1704.36,1704.13,1704.36,1715.91,1701.20
5.01E-06,1705.14,1716.61,1714.66,1717.37,1706.47,1716.54,1715.06,1717.47,1705.00,1708.08,1713.15,1716.14,1717.72,1718.40,1718.40,1710.47,1711.62,1713.98,1716.20,1704.06,1704.50,1705.14,1713.00,1705.15,1704.73,1705.64,1716.45,1702.07
4.01E-06,1706.06,1717.09,1715.08,1717.83,1707.80,1717.21,1715.58,1717.88,1705.25,1709.47,1713.82,1716.39,1717.93,1718.40,1718.40,1710.48,1712.20,1714.45,1716.43,1704.06,1705.33,1706.06,1713.89,1705.95,1705.33,1706.92,1717.10,1703.05
3.00E-06,1708.16,1717.86,1715.83,1718.28,1710.50,1717.88,1716.11,1718.29,1707.04,1711.78,1714.61,1716.64,1718.14,1718.40,1718.40,1711.60,1713.23,1714.93,1716.66,1705.16,1706.99,1708.16,1714.67,1708.11,1706.61,1708.48,1717.83,1705.46
2.00E-06,1711.96,1718.40,1716.90,1718.40,1712.63,1718.40,1716.78,1718.40,1710.70,1713.88,1715.44,1717.07,1718.36,1718.40,1718.40,1713.18,1714.27,1715.55,1717.08,1707.19,1710.20,1711.96,1715.55,1711.86,1710.06,1711.49,1718.40,1709.60
1.00E-06,1714.23,1718.40,1718.26,1718.40,1714.71,1718.40,1718.24,1718.40,1713.72,1715.13,1716.42,1717.97,1718.40,1718.40,1718.40,1714.69,1715.45,1716.45,1717.97,1711.59,1713.88,1714.23,1716.70,1714.27,1713.35,1714.40,1718.40,1713.38
9.02E-07,1714.47,1718.40,1718.39,1718.40,1714.95,1718.40,1718.39,1718.40,1714.05,1715.29,1716.52,1718.06,1718.40,1718.40,1718.40,1714.83,1715.68,1716.54,1718.06,1712.20,1714.15,1714.47,1716.82,1714.47,1713.75,1714.68,1718.40,1713.78
8.02E-07,1714.72,1718.40,1718.40,1718.40,1715.19,1718.40,1718.40,1718.40,1714.38,1715.59,1716.61,1718.15,1718.40,1718.40,1718.40,1714.97,1715.90,1716.63,1718.15,1712.85,1714.41,1714.72,1717.12,1714.67,1714.15,1714.96,1718.40,1714.18
7.02E-07,1714.96,1718.40,1718.40,1718.40,1715.56,1718.40,1718.40,1718.40,1714.73,1715.88,1716.71,1718.24,1718.40,1718.40,1718.40,1715.12,1716.12,1716.72,1718.24,1713.50,1714.68,1714.96,1717.42,1714.87,1714.63,1715.24,1718.40,1714.59
6.01E-07,1715.21,1718.40,1718.40,1718.40,1715.97,1718.40,1718.40,1718.40,1715.20,1716.18,1716.81,1718.33,1718.40,1718.40,1718.40,1715.31,1716.34,1716.81,1718.33,1713.99,1714.95,1715.21,1717.72,1715.32,1715.10,1715.62,1718.40,1714.99
5.01E-07,1715.65,1718.40,1718.40,1718.40,1716.37,1718.40,1718.40,1718.40,1715.66,1716.47,1717.19,1718.40,1718.40,1718.40,1718.40,1715.75,1716.56,1717.20,1718.40,1714.44,1715.22,1715.65,1718.02,1715.77,1715.58,1716.01,1718.40,1715.53
4.01E-07,1716.12,1718.40,1718.40,1718.40,1716.78,1718.40,1718.40,1718.40,1716.12,1716.77,1717.60,1718.40,1718.40,1718.40,1718.40,1716.18,1716.79,1717.60,1718.40,1714.90,1715.78,1716.12,1718.32,1716.22,1716.06,1716.40,1718.40,1716.08
3.01E-07,1716.59,1718.40,1718.40,1718.40,1717.62,1718.40,1718.40,1718.40,1716.63,1717.35,1718.00,1718.40,1718.40,1718.40,1718.40,1716.61,1717.36,1718.01,1718.40,1715.44,1716.34,1716.59,1718.40,1716.69,1716.71,1716.78,1718.40,1716.64
2.01E-07,1717.32,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1717.46,1717.98,1718.40,1718.40,1718.40,1718.40,1718.40,1717.32,1717.99,1718.40,1718.40,1716.19,1716.99,1717.32,1718.40,1717.50,1717.50,1717.63,1718.40,1717.43
1.00E-07,1718.28,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.28,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.28,1718.40,1718.40,1718.40,1717.13,1718.07,1718.28,1718.40,1718.30,1718.29,1718.40,1718.40,1718.26
9.03E-08,1718.37,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.37,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.38,1718.40,1718.40,1718.40,1717.31,1718.18,1718.37,1718.40,1718.38,1718.37,1718.40,1718.40,1718.34
8.03E-08,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1717.50,1718.28,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40
7.02E-08,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1717.68,1718.39,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40
6.02E-08,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1717.87,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40
5.02E-08,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.06,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40
4.02E-08,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.24,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40
3.01E-08,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40
2.01E-08,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40
