Cougar_3day_inflow,Sample_AEP
25350.32659,AEP = 0.001
24274.11537,AEP = 0.001
27699.77073,AEP = 0.001
20363.23883,AEP = 0.001
20920.65086,AEP = 0.001
29583.34056,AEP = 0.001
23879.50958,AEP = 0.001
27292.18509,AEP = 0.001
17081.53735,AEP = 0.001
24389.90948,AEP = 0.001
21333.39248,AEP = 0.001
28552.5798,AEP = 0.001
23910.67406,AEP = 0.001
25838.69,AEP = 0.001
20653.37761,AEP = 0.001
26017.41064,AEP = 0.001
21255.78082,AEP = 0.001
18227.37223,AEP = 0.001
17102.43916,AEP = 0.001
26543.15745,AEP = 0.001
15778.23369,AEP = 0.001
21243.05223,AEP = 0.001
16076.76387,AEP = 0.001
18502.83301,AEP = 0.001
23892.02587,AEP = 0.001
15262.28199,AEP = 0.001
19083.47802,AEP = 0.001
19096.63087,AEP = 0.001
20153.88363,AEP = 0.001
21586.4873,AEP = 0.001
16816.12669,AEP = 0.001
23860.00756,AEP = 0.001
24451.14,AEP = 0.001
26443.38132,AEP = 0.001
20208.89524,AEP = 0.001
22071.64814,AEP = 0.001
20066.63163,AEP = 0.001
23541.40959,AEP = 0.001
19645.25871,AEP = 0.001
18625.74958,AEP = 0.001
26023.64912,AEP = 0.001
26140.74101,AEP = 0.001
18237.13924,AEP = 0.001
21599.84227,AEP = 0.001
31088.32779,AEP = 0.001
15935.1044,AEP = 0.001
31442.97524,AEP = 0.001
18471.06706,AEP = 0.001
20074.40478,AEP = 0.001
24268.53211,AEP = 0.001
20433.32272,AEP = 0.001
19767.84696,AEP = 0.001
20051.51462,AEP = 0.001
23497.36775,AEP = 0.001
25247.99814,AEP = 0.001
24431.89475,AEP = 0.001
19678.29341,AEP = 0.001
22287.13146,AEP = 0.001
16982.68114,AEP = 0.001
22954.26608,AEP = 0.001
28330.47351,AEP = 0.001
22651.43347,AEP = 0.001
16401.75986,AEP = 0.001
21949.98245,AEP = 0.001
24416.47899,AEP = 0.001
20832.49513,AEP = 0.001
20288.54972,AEP = 0.001
23946.39053,AEP = 0.001
17865.98716,AEP = 0.001
28544.4959,AEP = 0.001
25357.80257,AEP = 0.001
23604.30447,AEP = 0.001
25455.9797,AEP = 0.001
27876.14934,AEP = 0.001
15931.40873,AEP = 0.001
25613.55305,AEP = 0.001
18605.6034,AEP = 0.001
24783.22262,AEP = 0.001
16072.47062,AEP = 0.001
21278.84111,AEP = 0.001
25221.22635,AEP = 0.001
21929.08245,AEP = 0.001
22514.31861,AEP = 0.001
22349.30249,AEP = 0.001
17349.34354,AEP = 0.001
23584.95145,AEP = 0.001
18214.17371,AEP = 0.001
22630.77303,AEP = 0.001
29017.0252,AEP = 0.001
22027.63602,AEP = 0.001
22402.91281,AEP = 0.001
15832.64714,AEP = 0.001
24128.93676,AEP = 0.001
23095.32223,AEP = 0.001
23743.93098,AEP = 0.001
21789.47861,AEP = 0.001
23361.62764,AEP = 0.001
17613.45561,AEP = 0.001
