Percent_Time_Exceedance,Elev_ft_88,Project,Operations
3.2579,"1,695.00",Cougar,Observed
3.2633,"1,695.00",Cougar,Observed
3.2687,"1,695.00",Cougar,Observed
3.2741,"1,695.00",Cougar,Observed
3.2795,"1,695.00",Cougar,Observed
3.2849,"1,695.00",Cougar,Observed
3.2903,"1,695.00",Cougar,Observed
3.2957,"1,695.00",Cougar,Observed
3.3011,"1,695.00",Cougar,Observed
3.3065,"1,695.00",Cougar,Observed
3.3119,"1,695.00",Cougar,Observed
3.3173,"1,695.00",Cougar,Observed
3.3227,"1,695.00",Cougar,Observed
3.3281,"1,695.00",Cougar,Observed
3.3335,"1,695.00",Cougar,Observed
3.3389,"1,695.00",Cougar,Observed
3.3443,"1,695.00",Cougar,Observed
3.3497,"1,695.00",Cougar,Observed
3.3551,"1,695.00",Cougar,Observed
3.3605,"1,695.00",Cougar,Observed
3.3659,"1,695.00",Cougar,Observed
3.3713,"1,695.00",Cougar,Observed
3.3767,"1,695.00",Cougar,Observed
3.3821,"1,695.00",Cougar,Observed
3.3875,"1,695.00",Cougar,Observed
3.3929,"1,695.00",Cougar,Observed
3.3983,"1,695.00",Cougar,Observed
3.4037,"1,695.00",Cougar,Observed
3.4092,"1,695.00",Cougar,Observed
3.4146,"1,695.00",Cougar,Observed
3.42,"1,695.00",Cougar,Observed
3.4254,"1,695.00",Cougar,Observed
3.4308,"1,695.00",Cougar,Observed
3.4362,"1,695.00",Cougar,Observed
3.4416,"1,695.00",Cougar,Observed
3.447,"1,695.00",Cougar,Observed
3.4524,"1,695.00",Cougar,Observed
3.4578,"1,695.00",Cougar,Observed
3.4632,"1,695.00",Cougar,Observed
3.4686,"1,695.00",Cougar,Observed
3.474,"1,695.00",Cougar,Observed
3.4794,"1,695.00",Cougar,Observed
3.4848,"1,694.90",Cougar,Observed
3.4902,"1,694.90",Cougar,Observed
3.4956,"1,694.90",Cougar,Observed
3.501,"1,694.90",Cougar,Observed
3.5064,"1,694.90",Cougar,Observed
3.5118,"1,694.90",Cougar,Observed
3.5172,"1,694.90",Cougar,Observed
3.5226,"1,694.90",Cougar,Observed
3.528,"1,694.90",Cougar,Observed
3.5334,"1,694.90",Cougar,Observed
3.5388,"1,694.90",Cougar,Observed
3.5442,"1,694.90",Cougar,Observed
3.5496,"1,694.90",Cougar,Observed
3.555,"1,694.90",Cougar,Observed
3.5604,"1,694.90",Cougar,Observed
3.5658,"1,694.90",Cougar,Observed
3.5712,"1,694.90",Cougar,Observed
